"GroupName","MemberSamAccountName"
"0m_PP","p8505"
"0m_PP","p6701"
"0m_PP","p6201"
"0m_PP","p7203"
"0m_PP","p7502"
"0m_PP","p4701"
"0m_PP","p8504"
"0m_PP","p8702"
"0m_PP","p4709"
"0m_PP","p4706"
"0m_PP","p8001"
"0m_PP","p7101"
"0m_PP","p1001"
"0m_PP","p7202"
"0m_PP","p4710"
"0m_PP","p7504"
"0m_PP","p8004"
"0m_PP","p6003"
"0m_PP","P8901"
"0m_PP","p7802"
"0m_PP","p1202"
"0m_PP","P4703"
"0m_PP","p7801"
"0m_PP","p3202"
"0m_PP","p8005"
"0m_PP","p4201"
"0m_PP","p4202"
"0m_PP","p4714"
"0m_PP","p7501"
"0m_PP","p4713"
"0m_PP","p4711"
"0m_PP","p4705"
"0m_PP","p2202"
"0m_PP","p6001"
"0m_PP","P8506"
"0m_PP","p6002"
"0m_PP","p7005"
"0m_PP","p4707"
"0m_PP","p3201"
"0m_PP","p1201"
"0m_PP","p4702"
"0m_PP","P6202"
"0m_PP","p4708"
"0m_PP","p4704"
"0m_PP","p6101"
"0m_PP","p1203"
"0m_PP","p2201"
"0m_PP","p8503"
"0m_PP","p5202"
"0m_PP","p5201"
"0m_PP","P6502"
"0m_PP","p8703"
"0m_PP","p7201"
"0m_PP","p8102"
"0m_PP","p4712"
"0m_PP","p8003"
"0m_PP","p2001"
"0m_PP","P7805"
"0m_PP","P7804"
"0m_PP","p3001"
"0m_PP","p7808"
"0m_PP","P8006"
"0m_PP","p4203"
"0m_PP","p7806"
"0m_PP","p6503"
"0m_PP","p7803"
"0m_PP","p7807"
"0m_PP","P7204"
"0m_PP","p5203"
"0m_PP","p6203"
"0m_PP","p3003"
"0m_PP","p1005"
"0m_PP","p2204"
"0m_PP","p4001"
"0m_PP","p2203"
"0m_PP","p4003"
"0m_PP","p3007"
"0m_PP","p4204"
"0m_PP","p3004"
"0m_PP","P1003"
"0m_PP","p4206"
"0m_PP","p1007"
"0m_PP","p1008"
"0m_PP","p8007"
"0m_PP","p1013"
"0m_PP","p7809"
"0m_PP","p5204"
"0m_PP","p6004"
"0m_PP","p4717"
"0m_PP","p1204"
"0m_PP","p8008"
"0m_PP","p5003"
"0m_PP","p6006"
"0m_PP","p5004"
"0m_PP","p5002"
"0m_PP","p6204"
"0m_PP","p7004"
"0m_PP","p8902"
"0m_PP","p8009"
"0m_PP","p4718"
"0m_PP","p9400"
"0m_PP","p7505"
"0m_PP","p4006"
"0m_PP","p8508"
"0m_PP","p8509"
"0m_PP","p8010"
"DG_CASSOVIA_PREDAJNE","p8505"
"DG_CASSOVIA_PREDAJNE","p6701"
"DG_CASSOVIA_PREDAJNE","p6201"
"DG_CASSOVIA_PREDAJNE","p7203"
"DG_CASSOVIA_PREDAJNE","p7502"
"DG_CASSOVIA_PREDAJNE","p4701"
"DG_CASSOVIA_PREDAJNE","p8504"
"DG_CASSOVIA_PREDAJNE","p8702"
"DG_CASSOVIA_PREDAJNE","p4709"
"DG_CASSOVIA_PREDAJNE","p4706"
"DG_CASSOVIA_PREDAJNE","p8001"
"DG_CASSOVIA_PREDAJNE","p7101"
"DG_CASSOVIA_PREDAJNE","p8103"
"DG_CASSOVIA_PREDAJNE","p7202"
"DG_CASSOVIA_PREDAJNE","p4710"
"DG_CASSOVIA_PREDAJNE","p7504"
